comment,brand,title
"Primitive, April and Disorder. 🔥🔥🔥",nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
the Avengers,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
This was absolutely fantastic!,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
"Damn, Paul and Shane are my favorite skaters, and everyone else was killing it too. They are a powerhouse team for sure.",nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
These girls are actually good at street! ❤,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
they're like avengers in skateboarding 🙌,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
This video contains the biggest amount of followers than any other skate video 📊📈,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
Great see everyone having fun and not just competing 😊,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
P Rod Tre flippin and switch backside flipping 10 stairs at 40 watch yall mouths !!!,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
yuto the nonchalant final boss lmao,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
Shane is so good when he tries to bail he lands it,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
dream team and they all seem to like skating with each other nike sb has many other ams and flo skaters too top brand.,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
3:27 this the first time I ever seen Ishod frustrated 😂,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
Shane’s nollie tres are just unfair,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
always hyped to see Rayssa & Chloe in the streets,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
Earth’s mightiest skateboarders,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
Man legend legends legends!,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
that was supreme,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
The slightly darker hair looks great for the winter on you ❤,shein,SHEIN SHOPS HAUL | MY FAVE CO-ORDS AND COSY KNITWEAR | AD
Love last co ord. Longer length much more cosier. 🎉,shein,SHEIN SHOPS HAUL | MY FAVE CO-ORDS AND COSY KNITWEAR | AD
Lovely winter items ❤,shein,SHEIN SHOPS HAUL | MY FAVE CO-ORDS AND COSY KNITWEAR | AD
Love all the clothes in the haul beautiful on you.❤❤❤❤,shein,SHEIN SHOPS HAUL | MY FAVE CO-ORDS AND COSY KNITWEAR | AD
"Hi Juliette,great cosy haul from Shein. I love the last co-ord,looks so comfy & warm. The fleece you are wearing is really nice, could i ask where it's from ❤",shein,SHEIN SHOPS HAUL | MY FAVE CO-ORDS AND COSY KNITWEAR | AD
Beautiful haul I love shein everything looks gorgeous on you ❤,shein,SHEIN SHOPS HAUL | MY FAVE CO-ORDS AND COSY KNITWEAR | AD
